image_name,bboxs_coords
clip1/frame0.png,"[array([316.14447, 339.6529 , 348.7897 , 411.98557], dtype=float32), array([601.83   , 335.35767, 619.5967 , 384.2945 ], dtype=float32), array([105.4321 , 303.84958, 138.08719, 395.73376], dtype=float32), array([ 30.614338, 307.51184 ,  70.46192 , 406.20557 ], dtype=float32)]"
clip2/frame0.png,"[array([574.39667, 324.21924, 599.08075, 389.51004], dtype=float32), array([482.4938 , 346.57513, 493.0652 , 374.67233], dtype=float32), array([549.3723 , 333.41397, 571.245  , 393.47653], dtype=float32), array([565.85284, 325.33698, 588.4988 , 386.82388], dtype=float32), array([497.23242, 338.14206, 515.5176 , 387.81308], dtype=float32)]"
clip3/frame0.png,"[array([381.58987, 346.82935, 391.00836, 371.79337], dtype=float32), array([564.9357 , 327.7314 , 584.8099 , 372.52188], dtype=float32), array([311.80975, 344.36465, 323.2805 , 375.9135 ], dtype=float32), array([614.0371 , 324.9219 , 628.67377, 367.7051 ], dtype=float32), array([502.79037, 340.797  , 508.8698 , 358.31116], dtype=float32), array([394.5119 , 346.41937, 403.89423, 371.57428], dtype=float32)]"
clip4/frame0.png,"[array([478.17392, 340.1074 , 524.4122 , 453.36792], dtype=float32), array([ 18.81108 , 311.3174  ,  58.293716, 422.2213  ], dtype=float32), array([746.8764 , 292.101  , 783.3671 , 392.84436], dtype=float32), array([176.3891 , 299.21277, 230.77525, 431.7678 ], dtype=float32), array([456.61563, 345.7437 , 466.2777 , 370.48676], dtype=float32)]"
clip5/frame0.png,"[array([680.3156 , 312.8416 , 701.7256 , 365.13168], dtype=float32), array([125.765854, 330.89508 , 139.82243 , 370.47635 ], dtype=float32), array([719.7627, 312.3651, 737.3621, 360.7378], dtype=float32), array([771.18243, 295.4432 , 789.34973, 343.3033 ], dtype=float32), array([704.99133, 310.0266 , 724.8255 , 364.8911 ], dtype=float32), array([581.0976 , 332.00797, 594.3254 , 368.99384], dtype=float32), array([631.74207, 324.34192, 644.28394, 358.13132], dtype=float32), array([268.68436, 351.5159 , 278.03287, 377.8502 ], dtype=float32), array([552.6714 , 339.09705, 563.5594 , 368.9849 ], dtype=float32)]"
clip6/frame0.png,"[array([570.1528 , 324.4256 , 587.1076 , 369.67377], dtype=float32), array([539.0946 , 329.72043, 553.3369 , 368.67664], dtype=float32), array([557.8188 , 329.00565, 571.5573 , 365.51862], dtype=float32), array([690.6285 , 294.13187, 718.27783, 359.45007], dtype=float32)]"
clip7/frame0.png,"[array([806.6479 , 274.5814 , 853.2022 , 405.57904], dtype=float32), array([ 94.24184, 335.68948, 101.51586, 355.52032], dtype=float32), array([445.75095, 350.7503 , 460.25604, 388.7413 ], dtype=float32), array([ 62.321323, 328.94235 ,  71.58289 , 355.3627  ], dtype=float32), array([ 66.4303 , 331.83737,  74.65787, 355.724  ], dtype=float32), array([439.82962, 347.01953, 456.1752 , 388.2401 ], dtype=float32), array([423.5947 , 348.68762, 437.43695, 384.00894], dtype=float32), array([516.23083, 339.7748 , 535.9674 , 393.45316], dtype=float32)]"
clip8/frame0.png,"[array([738.35034, 310.52692, 756.18835, 359.77417], dtype=float32), array([151.7372 , 331.6448 , 164.75912, 367.37424], dtype=float32), array([606.04816, 337.9626 , 613.9481 , 356.70978], dtype=float32)]"
clip9/frame0.png,"[array([741.5799 , 299.4079 , 769.3873 , 371.43115], dtype=float32), array([620.71906, 329.91208, 637.61395, 373.94284], dtype=float32), array([596.3773 , 332.3758 , 613.06696, 376.4831 ], dtype=float32), array([718.1324 , 311.517  , 740.5471 , 370.50735], dtype=float32), array([632.49896, 324.9148 , 649.46045, 372.24435], dtype=float32), array([691.7486 , 312.1359 , 714.99316, 371.99457], dtype=float32), array([537.06354, 345.68262, 544.709  , 363.7233 ], dtype=float32)]"
clip10/frame0.png,"[array([573.09125, 330.73862, 593.03235, 380.08078], dtype=float32), array([ 92.88462, 328.94247, 115.48111, 390.9696 ], dtype=float32), array([682.0356 , 311.36914, 700.80475, 364.40414], dtype=float32), array([8.3539180e-02, 3.0836197e+02, 2.0346096e+01, 3.8772314e+02],
      dtype=float32)]"
