image_name,bboxs_coords
clip1/frame35.png,"[array([640.3052, 328.0833, 663.2285, 392.0512], dtype=float32)]"
clip1/frame30.png,"[array([631.2027 , 328.24704, 653.8725 , 391.10587], dtype=float32), array([211.46077, 342.56766, 224.41022, 377.42337], dtype=float32)]"
clip1/frame25.png,"[array([624.63855, 333.90204, 645.8934 , 390.4858 ], dtype=float32)]"
clip1/frame100.png,"[array([483.72546, 342.27588, 496.8713 , 378.34412], dtype=float32)]"
clip1/frame118.png,"[array([487.7293 , 341.87314, 501.6926 , 378.93207], dtype=float32)]"
clip1/frame96.png,"[array([816.80023, 264.75064, 853.5937 , 392.14676], dtype=float32), array([482.8404 , 343.37354, 495.74966, 378.20142], dtype=float32)]"
clip1/frame89.png,"[array([791.2768 , 274.76038, 833.6761 , 391.7823 ], dtype=float32)]"
clip1/frame71.png,"[array([730.443  , 299.74725, 764.94574, 393.88528], dtype=float32)]"
clip1/frame54.png,"[array([682.44666, 317.86438, 711.4621 , 392.42807], dtype=float32)]"
clip1/frame39.png,"[array([649.2403 , 326.33475, 673.48334, 391.4634 ], dtype=float32)]"
clip1/frame53.png,"[array([680.05035, 318.9256 , 709.26184, 392.44003], dtype=float32)]"
clip1/frame142.png,"[array([491.84152, 341.80215, 506.73898, 381.98087], dtype=float32)]"
clip1/frame119.png,"[array([487.86462, 341.63776, 501.83374, 378.9016 ], dtype=float32)]"
clip1/frame87.png,"[array([782.6812 , 279.09982, 824.2272 , 391.5764 ], dtype=float32)]"
clip1/frame144.png,"[array([491.98553, 341.98383, 506.7958 , 381.96936], dtype=float32)]"
clip1/frame18.png,"[array([614.5292 , 334.85397, 635.0965 , 389.79434], dtype=float32), array([ 22.731436, 282.4896  ,  59.29158 , 389.92474 ], dtype=float32)]"
clip1/frame64.png,"[array([708.48785, 303.9318 , 739.9838 , 393.5591 ], dtype=float32)]"
clip1/frame56.png,"[array([686.81396, 311.4588 , 717.33936, 392.75043], dtype=float32)]"
clip1/frame99.png,"[array([483.6223 , 342.49683, 496.6816 , 378.29385], dtype=float32)]"
clip1/frame76.png,"[array([745.16113, 291.09644, 781.5179 , 393.62302], dtype=float32)]"
clip1/frame62.png,"[array([702.58356, 305.0137 , 734.3822 , 392.78748], dtype=float32)]"
clip1/frame7.png,"[array([605.4692 , 335.7937 , 624.2549 , 386.41055], dtype=float32), array([  4.2472525, 297.884    ,  42.246956 , 404.9888   ], dtype=float32), array([ 77.24714, 299.18222, 112.65746, 397.7186 ], dtype=float32), array([296.56778, 340.33942, 316.37775, 393.71274], dtype=float32)]"
clip1/frame108.png,"[array([485.09494, 342.6793 , 498.78778, 379.4194 ], dtype=float32)]"
clip1/frame24.png,"[array([623.0973 , 333.8833 , 644.6585 , 390.32852], dtype=float32)]"
clip1/frame88.png,"[array([787.3803 , 278.52814, 829.4212 , 391.52414], dtype=float32)]"
clip1/frame82.png,"[array([767.11426, 287.62286, 807.2758 , 392.19678], dtype=float32)]"
clip1/frame117.png,"[array([487.7023 , 341.95108, 501.60013, 378.956  ], dtype=float32)]"
clip1/frame67.png,"[array([717.8279 , 302.13028, 751.5053 , 393.60605], dtype=float32)]"
clip1/frame150.png,"[array([491.1488 , 341.6245 , 506.35846, 382.0398 ], dtype=float32)]"
clip1/frame81.png,"[array([764.8321 , 289.12912, 804.60223, 392.14334], dtype=float32)]"
clip1/frame95.png,"[array([812.65875, 262.8153 , 852.3441 , 392.08014], dtype=float32), array([482.41376, 342.77017, 495.79407, 378.3609 ], dtype=float32)]"
clip1/frame52.png,"[array([677.69745, 321.5587 , 706.24005, 392.31607], dtype=float32)]"
clip1/frame74.png,"[array([739.171  , 294.6389 , 773.58673, 393.19455], dtype=float32)]"
clip1/frame133.png,"[array([491.0437 , 341.54596, 505.93155, 380.8327 ], dtype=float32)]"
clip1/frame73.png,"[array([736.15485, 298.10727, 770.71094, 393.07565], dtype=float32)]"
clip1/frame153.png,"[array([490.3483 , 342.0878 , 505.46832, 382.61722], dtype=float32)]"
clip1/frame132.png,[]
clip1/frame8.png,"[array([606.6225 , 335.8415 , 625.4582 , 386.76193], dtype=float32), array([7.8821175e-02, 2.9688004e+02, 3.6188656e+01, 3.9881375e+02],
      dtype=float32), array([292.15018, 340.31363, 314.53482, 401.74658], dtype=float32), array([ 74.06148, 299.25052, 107.7742 , 387.80374], dtype=float32)]"
clip1/frame11.png,"[array([608.5677 , 335.8703 , 627.54224, 387.79114], dtype=float32)]"
clip1/frame112.png,"[array([485.6614 , 342.5896 , 499.88928, 379.80188], dtype=float32)]"
clip1/frame83.png,"[array([770.3399 , 285.96973, 810.13806, 392.6018 ], dtype=float32)]"
clip1/frame36.png,"[array([642.3632, 327.1077, 666.2981, 391.6729], dtype=float32)]"
clip1/frame50.png,"[array([673.30493, 322.73804, 700.22864, 391.97577], dtype=float32)]"
clip1/frame91.png,"[array([799.229  , 271.7232 , 840.84796, 393.74033], dtype=float32), array([482.4093 , 348.38177, 494.11374, 377.7334 ], dtype=float32)]"
clip1/frame68.png,"[array([720.9683 , 302.41367, 755.3037 , 393.32687], dtype=float32)]"
clip1/frame92.png,"[array([802.3097 , 252.19034, 849.35144, 394.4008 ], dtype=float32), array([482.241  , 349.29553, 493.19083, 376.98898], dtype=float32)]"
clip1/frame21.png,"[array([618.38934, 333.50284, 640.40344, 389.9381 ], dtype=float32), array([  6.965593, 278.25436 ,  44.8163  , 390.14633 ], dtype=float32)]"
clip1/frame49.png,"[array([670.3676 , 318.36447, 697.7445 , 391.39233], dtype=float32)]"
clip1/frame34.png,"[array([637.4872 , 327.8038 , 661.2972 , 391.90714], dtype=float32)]"
clip1/frame29.png,"[array([629.8717 , 331.66876, 651.99774, 390.95337], dtype=float32)]"
clip1/frame137.png,"[array([491.54312, 342.56522, 505.99435, 381.64066], dtype=float32)]"
clip1/frame154.png,[]
clip1/frame121.png,"[array([488.48312, 341.60583, 502.73697, 379.20255], dtype=float32)]"
clip1/frame38.png,"[array([647.0019 , 326.1677 , 671.1106 , 391.66806], dtype=float32), array([172.32018, 328.53937, 202.44276, 410.49567], dtype=float32)]"
clip1/frame84.png,[]
clip1/frame3.png,"[array([307.67685, 340.33014, 343.1287 , 412.5797 ], dtype=float32), array([603.4812 , 334.18066, 622.2099 , 384.41263], dtype=float32), array([ 94.19861, 304.40173, 126.86911, 391.81198], dtype=float32), array([ 21.69975 , 303.53406 ,  56.529877, 399.2792  ], dtype=float32)]"
clip1/frame23.png,"[array([621.39465, 334.12067, 642.79724, 390.20438], dtype=float32), array([  0.      , 273.97958 ,  35.485264, 393.08167 ], dtype=float32)]"
